 Normal, Sick, Immune
1458,  42,1500
1455,  42,1503
1452,  43,1505
1445,  48,1507
1440,  53,1507
1437,  55,1508
1436,  54,1510
1432,  56,1512
1431,  55,1514
1428,  58,1514
1426,  59,1515
1423,  62,1515
1419,  65,1516
1415,  69,1516
1412,  70,1518
1408,  72,1520
1404,  74,1522
1399,  78,1523
1397,  79,1524
1395,  79,1526
1391,  83,1526
1387,  86,1527
1384,  88,1528
1384,  87,1529
1382,  87,1531
1379,  87,1534
1377,  88,1535
1374,  90,1536
1368,  93,1539
1357, 102,1541
1347, 110,1543
1339, 114,1547
1332, 120,1548
1329, 119,1552
1327, 117,1556
1321, 121,1558
1317, 122,1561
1308, 124,1568
1300, 125,1575
1295, 128,1577
1290, 127,1583
1286, 126,1588
1280, 123,1597
1272, 126,1602
1271, 123,1606
1266, 125,1609
1265, 122,1613
1261, 124,1615
1257, 121,1622
1251, 126,1623
1244, 132,1624
1237, 134,1629
1227, 142,1631
1220, 145,1635
1218, 144,1638
1213, 145,1642
1211, 142,1647
1206, 144,1650
1201, 148,1651
1198, 147,1655
1194, 143,1663
1191, 143,1666
1184, 147,1669
1177, 151,1672
1172, 151,1677
1164, 152,1684
1159, 154,1687
1157, 152,1691
1152, 152,1696
1149, 151,1700
1143, 153,1704
1140, 151,1709
1136, 150,1714
1134, 150,1716
1132, 149,1719
1126, 151,1723
1124, 152,1724
1120, 150,1730
1117, 152,1731
1112, 155,1733
1110, 155,1735
1104, 156,1740
1095, 164,1741
1090, 164,1746
1087, 164,1749
1078, 169,1753
1067, 172,1761
1062, 169,1769
1055, 172,1773
1049, 175,1776
1046, 170,1784
1037, 176,1787
1033, 177,1790
1026, 180,1794
1018, 188,1794
1009, 195,1796
1006, 193,1801
 999, 196,1805
 991, 196,1813
 985, 196,1819
